gene,DK20193B_01,DK20193B_02,DK20193B_03,DK20193B_04,DK20193B_05,DK20193B_06,DK20193B_07,DK20193B_08,DK20193B_09,DK20193B_10,DK20193B_11
PDCL3,41.2787101459948,28.4095488134138,31.6474357712491,30.4725741749752,14.6107694252848,6.81471737310089,15.5670177852318,35.3031661441024,21.5916860318907,17.0450298359532,26.7164648585216
PDCL3P4,16.6312734298126,7.76710706368765,14.8325796195725,16.6622671607825,13.3151722042906,7.45251391259761,13.2408510041674,4.28969182829321,16.5287321861625,1.69457200348189,7.7911698129293
PDE10A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE12,6.36262069229896,6.00895151754839,2.64809766909549,3.82468677213021,5.22982045205212,1.99577402181714,3.37703194880822,2.68047307214726,2.95091604413326,3.32789812452774,4.1729313073608
PDE1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE1B,0.0,1.51896274616631,0.0,1.39651350292443,2.34356567176682,0.364359951063536,0.55487728767944,0.0,0.692660772434573,0.0,0.571375703231088
PDE1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE2A,0.0,0.0,0.563037757415809,0.0,0.0,0.0,0.430814131374838,0.0,1.07558213550892,0.0,0.443623721391885
PDE3A,0.0,0.0,0.998385768696235,0.32044075241713,1.07549829719127,0.0,0.0,0.0,0.0,0.0,0.262213089773675
PDE3B,29.5245377764839,26.3234922206048,31.1189517252532,29.9637092733034,27.0758594463804,17.239112930093,30.5269051225383,30.1148198036007,22.483216000208,16.6822559587563,18.2320536740416
PDE4A,10.7514399065294,7.98814212555445,9.66129907075246,8.32341334181795,21.362785385892,7.40910978958012,14.395808802576,15.0000083997924,8.25670772615197,5.22838756880947,11.2180455080072
PDE4B,8.14143377452896,19.5179476364523,10.7300367787883,16.3132119973266,11.5587948528718,14.4711782469694,19.8773214935243,10.7795579222251,18.3401376822126,14.3233275246665,11.1240993581651
PDE4C,0.0,0.0,0.443605505842758,0.0,0.477868356218243,0.0,0.0,0.0,0.423714174594424,0.0,0.0
