gene,H10,H1,H2,H3,H4,H5,H6,H7,H8,H9
AC090666.1,3.075370117,2.36256874,2.933563303,1.397611792,0.922800301,0.920187535,1.917473522,2.013694928,2.44995789,0.951760207
BTN2A1,82.39425722,79.51007679,90.37278005,97.55234356,89.56791834,82.01563217,118.6857629,96.54250094,96.50000493,83.04026129
DONSON,8.965084919,9.881606935,8.489731641,7.73509726,4.736875087,8.863783087,8.809810526,11.03847223,10.8060518,7.298138474
IGKV3D-15,2.303938893,1.592944075,1.648277361,3.14109721,0.0,8.789417549,3.23210499,1.131432125,6.607462187,1.069528516
P2RX5,13.82363336,12.9524633,16.75298301,10.81361335,4.028942448,9.967555485,3.23210499,17.97307752,8.232247971,9.520557116
RNU6-951P,0.0,0.0,0.0,1.937499214,1.918907169,0.0,0.0,2.093678137,2.037815441,1.979127534
SIRPD,4.434312522,5.620789299,6.873496843,4.534171914,2.993774975,4.975497605,6.73911563,6.805089936,8.478104581,5.918144424
LRIF1,12.11442912,10.68755396,12.1771079,15.5099523,8.677274107,10.58202527,15.83749904,11.5146319,13.82246373,9.675232262
ZNF195,5.511865422,5.763489569,5.815065104,4.992067396,2.156497075,5.454651067,4.244155968,7.058722048,5.88358088,5.551392739
NOTCH2,100.6777367,78.19924715,84.32166844,74.38490145,82.66494179,68.84992728,90.98967478,97.62391494,98.71707644,88.0218212
RHPN1,7.414013683,10.70440144,9.672205009,8.671049899,2.944403447,10.17836499,8.259480534,9.102295727,9.849603648,5.415638417
SEC22B,27.74749341,29.1871648,26.87746674,25.95421102,25.43242329,24.88448258,27.15483382,27.55038476,32.02871116,26.4649705
FNBP1P1,3.202867909,3.47987181,3.273409402,4.158724491,2.059408897,2.977688098,2.139608118,3.707511286,3.499237748,4.991490656
FFAR2,370.2083513,331.1070279,280.3436768,332.6259702,413.2258097,322.4991829,376.2116064,421.0475392,536.0345976,226.7450222
AP002381.2,12.46681022,8.417219499,12.2269443,8.458474242,17.07073998,10.40258194,14.45116688,8.622923815,7.889279332,13.2048486
SUMO2P8,3.190069236,0.735204958,0.760743397,0.0,0.717912822,0.0,0.745870382,1.566598327,0.762399483,0.0
